a              .6 -w
parting	.p#tIN -w 
partner	.p#tnR -w 
parts          .p#ts -w
party          .p#ti -w
pass           .p&s -w
passed         .p&st -w
passenger	.p&sEnGR -w 
passes         .p&sIz -w
passing       .p&sIN -w
password	.p&sw3d -w 
past           .p&st -w
pasta	.past6 -w 
paste          .pest -w
pasty	.pesti -w 
pat            .p&t -w
patch         .p&c -w
patched        .p&ct -w
patches       .p&c6z -w
patching        .p&cIN -w
patchy	.p&ci -w 
path 	.p&T -w 
patience	.peS~ts -w 
patient        .peS~t -w
patients      .peS~nts -w
patio	.p&tio -w 
patrice	.p6tris -w 
patrick        .p&trIk -w
patricks	.p&triks -w
pats           .p&ts -w
patted         .p&tId -w
patterns	.p&t3nz -w 
patting        .p&tIN -w
patty          .p&ti -w
pattycake      .p&tikek -w
pattycaking	.p&tikekIN -w 
pattytake	.p&titek -w 
paul           .pOl -w
paul's         .pOlz -w
paula	.pOl6 -w	 
pause	.pOz -w 
paused	.pOzd -w 
pausing	.pOzIN -w 
pavement	.pevm~t -w 
pavilioned	.p6vIly~d -w 
paw	.pO -w 
paws	.pOz -w 
pay            .pe -w
paycheck	.pecEk -w 
payed        .ped -w
paying         .peIN -w
payment       .pem~t -w
payments      .pem~ts -w
payperview	.pe -w .pR -w .vyu -w 
pea            .pi -w
peace	.pIs -w 
peaceful	.pIsfL -w 
peach          .pic -w
peaches        .pic6z -w
peanut         .pinAt -w
peanutbutter	.pinAtbAtR -w 
peanuts	.pinAts -w 
pear           .p* -w
pearie	.p*i -w 
pearl	.p3l -w 
pearly	.p3li -w 
pears         .p*z -w
peary	.p*i -w  
peas           .piz -w
pedals	.pEdLz -w 
pedialyte	.pidi6l9t -w
pee             .pi -w
peed            .pid -w
peeing         .piIN -w
peek           .pik -w
peeka	.pik6 -w 
peekaboo       .pik6bu -w
peeks	.piks -w 
peel           .pil -w
peeled        .pild -w
peeling       .pilIN -w
peels          .pilz -w
peep	.pip -w 
peeped 	.pipt -w
peepee         .pipi -w
peepees	.pipiz -w 
peeping	.pipIN -w 
peers          .p(z -w
pees            .piz -w
peeyou	.piyu -w 
peeyoustinky	.piyu -w .stINki -w 
peg            .pEg -w
pegasus	.pEgas6s -w 
pegger	.pEgR -w 
peggie	.pEgi -w 
pegs           .pEgz -w
pen             .pEn -w
pencil         .pEnsL -w
pencils        .pEnsLz -w
penguin	.pENgwIn -w 
penguins 	.pENgwInz -w
penney .pEni -w 
pennies	.pEniz -w 
penny 	.pEni -w
pens           .pEnz -w
pentagon	.pEnt6gan -w 
peonies	.pi6niz -w 
peony	.pi6ni -w 
people         .pipL -w
people's       .pipLz -w
pepe           .pepe -w
pepper         .pEpR -w
pepper's	.pEpRz -w 
peppers        .pEpRz -w
pepsi             .pEpsi -w
per	.pR -w 
percent         .pRsEnt -w
perfect 	.pRfIkt -w
perfectly      .p3fIktli -w
perform        .pRf%m -w
performed      .pRf%md -w
performer	.p3f%mR -w 
performing     .pRf%mIN -w
performs        .pRf%mz -w
perfume	.p3fyum -w 
perhaps        .pRh&ps -w
period           .p(i6d -w
permission	.p3mIS~ -w 
peroxide	.p3aks9d -w 
perpendicular  .p3p~dIky6lR -w
persistent	.p3sIstEnt -w 
person         .p3s~ -w
person's       .p3s~z -w
personal	.p3s6nL -w 
personality	.p3s6n&lIti -w 
personnel       .p3s6nEl -w
perspective    .pRspEktIv -w
perspiration	.p3sp3eS~ -w 
pesky	.pEski -w 
pester         .pEstR -w
pet            .pEt -w
petal	.pEtL -w 
petals	.pEtlz -w 
pete	.pit -w 
peter          .pitR -w
peter's        .pitRz -w
pets           .pEts -w
petted 	.pEt6d -w
petting	.pEtIN -w 
phil	.fIl -w 
phillip	.fIlIp -w 
philosophy	.fIlasofi -w 
phone          .fon -w
phone's        .fonz -w
phones         .fonz -w
phonics         .faniks -w
phony	.foni -w 
photo	.foto -w 
photogenic	.fotogEnIk -w 
photographic	.fotogr&fIk -w 
photosynthesis	.fotosInTesIs -w
phrase         .frez -w
piano	.pi&no -w 
picachu	.pikacu -w 
pick           .pIk -w
picked         .pIkt -w
picking        .pIkIN -w
pickle         .pIkL -w
pickles        .pIkLz -w
picks          .pIks -w
picky	.pIki -w 
picnic         .pIknIk -w
picnics        .pIknIks -w
picture        .pIkcR -w
pictures       .pIkcRz -w
pie             .p9 -w
piece          .pis -w
pieces         .pisIz -w
pies	.p9z -w 
pig            .pIg -w
pigeon	.pIG~ -w 
pigeons        .pIG~ -w
piggie         .pIgi -w
piggies	.pIgiz -w 
piggy          .pIgi -w
piggy's	.pIgiz -w 
piglet          .pIglIt -w
piglet's	.pIglEts -w 
piglets	.pIglEts -w 
pigpen	.pIgpEn -w 
pigs           .pIgz -w
pigtail	.pIgteL -w  
pike           .p9k -w
pile           .p9l -w
piles          .p9lz -w
pillow        .pIlo -w
pillows	.pIloz -w 
pin            .pIk -w
pina	.pin6 -w 
pinch	.pInc -w 
pinched	.pInct -w 
pinchie	.pInci 
pinching 	.pIncIN -w
pine	.p9n -w 
pineapple	.p9n&pL -w 
pineapples   .p9n&pLz -w
pinecones	.p9nkonz -w 
pink           .pINk -w
pinkie 	.pINki -w
pinky   .pINki -w
pinnochio	.pInokio -w 
pins           .pInz -w
pinto          .pInto -w
pipe	.p9p -w 
piper's	.p9pRz -w 
piping	.p9pIN -w 
pipsqueak	.pIpskwik -w 
pissant@n     .pIs&nt -w
pissy           .pIsi -w
pit	.pIt -w 
pitched  .pIct -w
pitcher	.pItcR -w 
pitiful	.pItifL -w 
pizza	.pIz6 -w 
pjs	.piGez -w 
place          .ples -w
placed         .plest -w
places          .ples6z -w
plain          .plen -w
plainly	.plenli -w 
plan 	.pl&n -w
plane	.plen -w 
planet	.pl&nIt -w 
planing	.plenIN -w 
plant          .pl&nt -w
planted	.pl&nt6d -w 
plants         .pl&nts -w
plastic        .pl&stIk -w
plate          .plet -w
plates         .plets -w
platinum     .pl&t6n6m -w
platter	.pl&tR -w 
play           .ple -w
played         .pled -w
player         .pleR -w
playful	.plefL -w 
playground      .plegrQnd -w
playgroup      .plegrup -w
playhouse	.plehQs -w 
playing        .pleIN -w
playoffs	.pleOfs -w 
playpen        .plepEn -w
playpenie	.plepEni -w	 
playroom       .plerum -w
plays          .plez -w
playtex	.pletEks -w 
playtime	.plet9m -w 
pleasant	.plEz~t -w 
please         .pliz -w
pleased        .plizd -w
pleasure       .plEZR -w
plenty         .plEnti -w
plop	.plap -w 
plops  .plaps -w
plow           .plQ -w
plug	.plAg -w 
plugged		.plAgd -w 
plugs          .plAgz -w
plum	.plAm -w 
plums          .plAmz -w
plunged	.plAnGd -w 
plus              .plAs -w
pluto	.pluto -w 
pochahontas	.pok6hant6s -w 
pocket         .pakIt -w
pocketbook     .pakItbUk -w
pockets        .pakIts -w
pod	.pad -w 
point          .p7nt -w
pointed        .p7ntId -w
pointer          .p7ntR-w
pointers       .p7ntRz -w
pointing       .p7ntIN -w
points         .p7nts -w
pointy	.p7nti -w 
poison	.p7sIn -w 
poisonous	.p7sin6s -w 
poke           .pok -w
pokecenter	.pok -w .sEntR -w 
poked         .pokt -w
pokefood	.pok -w .fud -w 
pokemon	.pokiman -w 
pokes          .poks -w
pokey          .poki -w
pokie	.poki -w 
poking         .pokIN -w
polar	.polR -w 
pole           .pol -w
poles          .polz -w
police          .p6lis -w
policeman	.p6lIsm~ -w 
policy	.palIsi -w
polish         .palIS -w
polished      .palISt -w
polishes      .palIS6z -w
polishing     .palISIN -w
polite	.p6l9t -w 
politely	.p6l9tli -w 
polkadot	.polk6dat -w 
polo	.polo -w 
polyester	.paliEstR -w 
pond 	.pand -w
pony           .poni -w
ponytail	.ponitel -w 
poo 	.pu -w
poo's 	.puz -w
poodle	.pudL -w 
pooh           .pu -w
pooh's	.puz -w 
poohs	.puz -w 
pooie	.pui -w 
pookie        .puki -w
pool           .pul -w
poop	.pup -w 
poopie	.pupie -w 
poopied	.pupId -w 
poopies	.pupIz -w 
pooping	.pupIN -w	 
poopoo	.pupu -w 
poopoos	.pupuz -w 
poops          .pups -w
poopsie	.pupsi -w 
poopsie^boo	.pupsibu -w
poopsieboo	.pupsibu -w 
poor           .p) -w
poos	.puz -w 
pop            .pap -w
popbeads	.papbidz -w 
popcorn	.papk%n -w
popeye	.pap9 -w 
popped	.papt -w 
poppetypoppoppop	.papEti -w .pap -w .pap -w .pap -w
popping	.papIN -w 
poppy          .papi -w
popsicle	.papsIkL -w 
popular	.papyulR -w 
popup 	.papAp -w
porch	.p#c -w
porcupine	.p#ky6p9n -w
porridge	.p#IG -w
portfolio	.p%tfolio -w	
porthole	.p%thol -w
pose	.poz -w
poser	.pozR -w
posies         .poziz -w
position	.posIS~ -w
positive        .paz6tIv -w
possible       .pas6bL -w
possibly       .pas6bli -w
possums	.pasAmz -w
post          .post -w
posted         .post6d -w
poster	.postR -w
posting        .postIN -w
posts            .posts -w
posy	.posi -w
pot                 .pat -w
potato          .p6teto -w
potatos        .p6tetoz -w
potent	.pot~t -w
potholder 	.patholdR -w
potpourri	.potpori -w
pots           .pats -w
potted         .patId -w
potter	.patR -w
potty          .pati -w
pottytrain	.patitren -w
pouch         .pQc -w
pouches        .pQc6z -w
pouncy	.pQntsi -w
pound	.pQnd -w
pounding	.pQndIN -w
pounds	.pQndz -w
pour	.p# -w
poured	.p#d -w
pouring        .p%IN -w
pours	.p#z -w
pouting		.pQtIN -w
pouty         .pQti -w
pow	.pQ -w
powder         .pQdR -w
powells       .pQlz -w
power	.pQR -w
powerful	.pQrfL -w
practically	.pr&ktIc6li -w
practice	.pr&ktIs -w
practicing	.pr&ktIsIN -w	
prairie	.pr*i -w
praise	.prez -w
praised	.prezd -w
pray	.pre -w
prayer	.prer -w
prayers	.prerz -w
precious	.prES6s -w
precisely      .prIs9sli -w
prefer         .prIf3 -w
prefers        .prIf3z -w
pregnant	.prEgn6nt -w
prehistoric    .prihIst%Ik -w
premiums	.primiAmz -w
preparation	.prEp6r&S~ -w
prepare        .prIp* -w
preschool      .priskul -w
prescription	.pr6skrIpS~ -w
prescriptions	.pr6skripS~z -w
presence	.prEz~ts -w
present        .prEz~t -w
presents	.prEz~ts -w
preserver      .prIz3vR -w
press          .prEs -w
pressed        .prEst -w
pressing	.prEsIN -w
pressure       .prESR -w
pretend        .prItEnd -w
pretending     .prItEndIN -w
prettier	.prItiR -w	
pretties	.prItis -w
pretty         .prIti -w
pretzel	.prEtzL -w
pretzels	.prEtzLz -w
prevents	.prIvEnts -w
price          .pr9s -w
prick	.prIk -w
pricked	.prIkt -w
prickly	.prIkli -w	
primarily      .pr9m*6li -w
primary        .pr9m*i -w
prime	.pr9m -w
prince	.prInts -w
princess	.prInsEs -w
principle      .prIns6pL -w
printed	.prInt6d -w
prior          .pr9R -w
priority	.pr9#Iti -w
private	.pr9v6t -w
privilege	.prIv6l6G -w
prize	.pr9z -w
pro	.pro -w
probably       .prab6li -w
problem        .prablM -w
problems	.prablMz -w
procedure      .pr6siGR -w
process	.prOsIs -w
produce	.produs -w
produced	.produst -w
product         .pradAkt -w
products         .pradAkts -w
professor	.profEsR -w
profiling	.prof9lIN -w
program	.progr&m -w
project	.praGEkt -w
projects	.praGEkts -w
promise         .pramIs -w
promised	.pramIst -w	
promises	.pramIsIz -w
promote        .pr6mot -w
pronunciation  .pr6nAnsieS~ -w
proof	.pruf -w
propeller	.propElR -w
proper         .prapR -w
properly	.prapRli -w
protect	.protEkt -w
protected	.protEktId -w
protecting	.protEktIN -w
protection	.protEkS~ -w
protein	.protin -w
protest	.protEst -w
protesting	.protEstIN -w
proud	.prQd -w
prove	.prUv -w
provider	.pr6v9dR -w
proving        .pruvIN -w
prowl	.prQL -w
prunes	.prunz -w
psalm	.zalm -w
psalms    .zalmz -w
psghettios	.pskEtioz -w
psycho	.s9ko -w
publish	.pAblIS -w
pucker	.pAkR -w
puckering	.pAkRIN -w
pudding       .pUdIN -w
puddle	.pAdL -w
puddleduck	.pAdL -w .dAk -w
puddles	.pAdLz -w
puddy   .pAdi -w
puff	.pAf -w
puffed	.pAft -w
pull           .pUl -w
pulled         .pUld -w
pulling         .pUlIN -w
pullover       .pUlovR -w
pulls	.pUlz -w
pumba	.pumb6 -w
pump	.pAmp -w
pumpkin          .pAmpkIn -w
pumpkins       .pAmpkInz -w
punch         .pZnc -w
punishment	.pAnISm~t -w
punkin	.pAnkin -w
punky	.pAnki -w
pup            .pAp -w
puppet         .pApIt -w
puppets        .pApIts -w
puppies        .pApiz -w
puppy          .pApi -w
puppy's        .pApiz -w
puppydog 	.pApi -w .dOg -w
pups	.pAps -w
purchase	.p3CIs -w
purifier	.p3If9R -w
purple         .p3pL -w
purpose	.p3p6s -w
purr	.p3 -w
purse          .p3s -w
push           .pUS -w
pushed	.pUSt -w
pushes	.pUS6z -w
pushing        .pUSIN -w
pushovers	.pUSovRz -w
pussycat	.pUsic&t -w
put            .pUt -w
puts           .pUts -w
putted	.pUtEd -w
putting        .pUtIN -w
puzzle         .pAzL -w
puzzles        .pAzLz -w
q@l            .kyu -w
qrs@k          .kyu -w .# -w .Es -w
quack          .kw&k -w
quackeroo	.kw&k6ru -w
quacking	.kw&kIN -w	
quackquack       .kw&k -w .kw&k -w
quail	.kwel -w
quails	.kwelz -w
quality	.kwOlIti -w
quarrel	.kwOrL -w
quarter	.kw#tR -w
quarters	.kw#tRz -w	
quasimodo	.kwazimodo -w
queeka	.kwik6 -w
queekie	.kwiki -w
queekiemoo	.kwikimu -w
queekola	.kwikol6 -w
queekster	.kwikstR -w
queen	.kwin -w
quesadillas	.kEs6diy6z -w
question	.kwEsc~ -w
questionable   .kwEsc6n6bL -w
questioning	.kwesc~IN -w
quick          .kwIk -w
quickly        .kwIkli -w
quiet          .kw9It -w
quieter        .kw9ItR -w
quietly	.kw9Etli -w
quietness	.kw9Etn6s -w
quilt          .kwIlt -w
quilts         .kwIlts -w
quincy	.kwInsi -w
quit            .kwIt -w
quite          .kw9t -w
quitter	.kwItR -w
quiver         .kwIvR -w
quivering	.kwIvRIN -w
quiz 	.kwIz -w
quizzed        .kwIzd -w
quote	.kwot -w
r               .# -w
r@l            .# -w
rabbit         .r&bIt -w
rabbit's	.r&bits -w	
rabbits        .r&bIts -w
raccoon        .r&kun -w
raccoon's      .r&kunz -w
raccoons	.r6kunz -w
race	.res -w
raced	.rest -w
races	.res6z -w
raceway	.reswe -w
racing	.resIN -w
radiator	.redietR -w
radio            .redio -w
radio's          .redioz -w
radios           .redioz -w
radish	.r&dIS -w
rag	.r&g -w
raggedy        .r&gIdi -w
rags	.r&gz -w
rahab	.r6hab -w
rail	.reL -w
railing	.reLIN -w
railroad	.reLrod -w
rain           .ren -w
rainbow	.renbo -w
raincoat	.renkot -w
raindrops	.rendraps -w
rained	.rend -w
raineth 	.renIT -w
raining       .renIN -w
rains          .renz -w
rainy	.reni -w
raise	.rez -w
raisin         .rezIn -w
raisinbran	.rezIn -w .br&n -w
raising	.rezIN -w
raisins        .rezInz -w
rake	.rek -w
ram	.r&m -w
ramble	.r&mbL -w
rambling	.r6mblIN -w
ramen             .ram6n -w
ramshacking     .r&mS&kIN -w
ran            .r&n -w
ranch 	.r&nC -w	
rang           .r&N -w
range          .r&nG -w
rap             .r&p -w
rap's	.r&ps -w
rapped         .r&pt -w
rapping        .r&pIN -w
raps               .r&ps -w
rarely         .r*li -w
rascal	.r&skL -w
rash           .r&S -w
rashes	.r&SEz -w
raspberry   .r&zb*i -w
rat            .r&t -w
rather         .r&DR -w
rats	.r&ts -w	
rattle         .r&tL -w
rattles	.r&tLz -w
rattly	.r&tli -w
raven	.rev~ -w
ravens	.rev~z -w
ray            .re -w
raying	.reyIN -w
raymond        .rem~d -w
rays              .rez -w
razor	.razR -w
re@si	.re -w
reach          .ric -w
reached	.rict -w
reaches	.ric6z -w
reaching	.ricIN -w
react          .ri&kt -w
read           .rid -w
reading        .ridIN -w
reads          .ridz -w
ready          .rEdi -w
real           .ril -w
realistic      .ri6lIstIk -w
realize        .ri6l9z -w
realized       .ri6l9zd -w
really         .rili -w
reapplied	.riapl9d -w
rear	.r( -w		
rearrange      .riArenG -w
rearranged     .riArenGd -w
rearranges     .riArenG6z -w
rearranging     .riArenGIN -w
reason         .riz~ -w
reassured	.ri6SRd -w
reattach	.ri6t&c -w	
rebuild	.ribIld -w
receipt            .rIsit -w
receipts            .rIsits -w
receive          .rIsiv -w
received       .rIsivd -w
receiver       .rIsivR -w
receives         .rIsivz -w
receiving        .rIsivIN -w
recently       .ris~tli -w
recharges	.ric#G6z -w
recite         .rIs9t -w
recognize      .rEk6gn9z -w
recognizes     .rEk6gn9zIz -w
recognizing    .rEk6gn9zIN -w
recommended    .rEk6mEndId -w
record         .rEkRd -w
recorded	.rEk%d6d -w
recorder       .rIk%dR -w
recorder's	.rEk%dRz -w
recordie	.rEk%di -w
recording      .rIk%dIN -w
recordings     .rIk%dINz -w
records        .rEkRdz -w
recovered	.rEkAvRd -w
rectangle	.rEkt&NgL -w
recyclable	.ris9kl6bL -w
recycling	.ris9kLIN -w
red            .rEd -w
redhead	.rEdhEd -w
redid          .ridId -w
redo	.ridu -w
reference      .rEfr~s -w
refill	.rifIl -w
reflection	.rEflEkS~ -w
refraction	.rEfr&kS~ -w
refrigerant	.rEfrIGR6nt -w
refrigerator   .rIfrIG6retR -w
refuge	.rEfuG -w
refused	.rifUzd -w
regarding	.rig#dIN -w
reggie	.rEGi -w
register            .rEGIstR -w
registered         .rEGIstRd -w
registering        .rEGIstRIN -w
registers          .rEGIstRz -w
regressing     .rIgrEsIN -w
regular        .rEgy6lR -w
regularly      .rEgy6lRli -w
regulate	.rEgulet -w
regurgitated	.rEg3GItet6d -w
reindeer       .rend( -w 
rejected	.rEGEkt6d -w
rejoice	.riG7s -w
relate         .rIlet -w
related	.rilet6d -w
relationship   .rIleS~SIp -w
relax           .rIl&ks -w
relaxed	.rIll&kst -w
relaxing       .rIl&ksIN -w
relay	.rile -w
released	.rIlIst -w
relieves	.rIlivz -w
religious	.rIlIGAs -w
relocate	.riloket -w
remco	.rEmko -w
remedy	.rEm6di -w
remember       .rImEmbR -w
remembered     .rImEmbRd -w
remembers      .rImEmbRz -w
remifasolatido@si	.rE -w .mi -w .fa -w .so -w .la -w .ti -w .do -w
remind            .rIm9nd -w
reminded       .rIm9ndId -w
reminding      .rIm9ndIN -w
reminds          .rIm9ndz -w
remote          .rImot -w
remove         .rImuv -w
removed        .rImuvd -w
renewed  .rinud -w
rent            .rEnt -w
rented         .rEnt6d -w
renting        .rEntIN -w
rents            .rEnts -w
repaint	.ripent -w
repairman	.rip*m&n -w
repeat         .rIpit -w
repeated       .rIpitId -w
repeating      .rIpitIN -w
repetition     .rEpItIS~ -w
replace	.riples -w
replant	.ripl&nt -w
replied	.ripl9d -w
reply	.ripl9 -w
report	.rip%t -w
reported	.rip%t6d -w
repot	.ripat -w
representative .rEprizEnt6tIv -w
reptar            .rEpt# -w
republic	.ripAblIk -w
requires	.riKw9Rz -w
rescue	.rEskyu -w
rescued	.rEskyud -w
rescues	.rEskyuz -w
resealable       .risil6bL -w
resistant	.rEsIst~t -w
respect	.r6spEkt -w
respond        .rIspand -w
responding	.r6spandIN -w
response       .rIspans -w
rest           .rEst -w
restaurant	.rEst3ant -w
resting        .rEstIN -w
restrain	.rIstren -w
restrained     .rIstrend -w
result         .rIzAlt -w
resulted        .rIzAlt6d -w
resulting         .rIzAltIN -w
results             .rIzAlts -w
retarded	.rit#d6d -w
retardo         .rIt#do -w
retired	.rit9Rd -w
return           .rItRn -w
returned         .rItRnd -w
returning         .rItRnIN -w
returns             .rItRnz -w
reunion	.riyunyAn -w
reveal	.rIvil -w
reversal         .rIvRsL -w
reverse	.rIv3s -w
reversible	.rIv3sIbL -w
review	.rIvyu -w
reward	.rIw%d -w
rex	.rEks -w
rhinoceros	.r9nOsEr6s -w
rhinoceroses   .r9nOsEr6s6z -w
rhyme          .r9m -w
rhymes         .r9mz -w
rhyming        .r9mIN -w
rhythm	.rITM -w
ribbet	.rIbIt -w
ribbon         .rIb~ -w
ribbons	.rIb~z -w
ribs	.rIbz -w
rice             .r9s -w
rich	.rIc -w
richard        .rIcRd -w
rick	.rIk -w
ricky          .rIki -w
rid            .rId -w
ride           .r9d -w
riders	.r9dRz -w
rides	.r9dz -w
ridiculous	.rIdIky6l6s -w
riding         .r9dIN -w
right          .r9t -w
rightie	.r9ti -w
ring           .rIN -w
ringer	.rINgR -w
ringing        .rININ -w
rings          .rINz -w
rinse	.rInts -w
rinsed	.rIntst -w
rinsing	.rIntsIN -w
rip            .rIp -w
ripe	.r9p -w
ripped	.rIpt -w
ripping	.rIpIN -w
rips           .rIps -w
risen	.rIz~ -w
river          .rIvR -w
rivers	.rIvRz -w
road          .rod -w
roadblock	.rodblak -w	
roadrunner	.rodrAnR -w
roads          .rodz -w
roaming	.romIN -w
roar	.r% -w
roast	.rost -w 
robbin's 	.rObInz -w
robert	.rOb3t -w
roberts   .rOn3ts -w
robin	.rObIn -w
robitussin	.robitAsIn -w
rock           .rak -w
rockandroll	.rak -w .&nd -w .rol -w
rocker         .rakR -w
rockers        .rakRz -w
rocketship	.rakEtSIp -w
rockie	.rOki -w
rocking        .rakIN -w
rockingchair	.rOkINc* -w
rockinghorse	.rOkINh%s -w
rocks	.raks -w
roll           .rol -w
rolled         .rold -w
roller           .rolR -w
rolling         .rolIN -w
rolls             .rolz -w
rolypoly	.rolipoli -w
rommy	.rami -w
romper	.rampR -w
ron	.rOn -w
roo	.ru -w
roof	.ruf -w
roofing	.rufIN -w
room           .rum -w
room's	.rumz -w
rooms   .rumz -w
roomy   .rumi -w
roosteen	.rustin -w
rooster        .rustR -w
roosters	.rustRz -w
root	.rut -w
rope	.rop -w
rose           .roz -w
roses          .rozIz -w
rosey          .rozi -w
rosie	.rozi -w
rosies         .roziz -w
ross	.rOs -w
rosy	.rozi -w
rote           .rot -w
rotten 	.rOt~ -w
rough          .rAf -w
rougher	.rAfR -w
round          .rQnd -w
router	.rQtR -w
routine        .rutin -w
routines       .rutinz -w
rove	.rov -w
rover          .rovR -w
row	.ro -w
roy	.r7 -w
rub             .rAb -w
rubbed        .rAnd -w
rubber       .rAbR -w
rubbery	.rAbRi -w
rubbing        .rAbIN -w
rubs            .rAbz -w
ruby 	.rubi -w
rude           .rud -w
ruffle	.rAfL -w
ruffly	.rAfLi -w
rug            .rAg -w
rugrat         .rAgr&t -w
rugrats          .rAgr&ts -w
rugs	.rAgz -w
ruin	.ruIn -w
rule           .rul -w
rules           .rulz -w
rumbling	.rAmblIN -w
run            .rAn -w
runaway	.rAn6we -w
runner	.rAnR -w	
running        .rAnIN -w
runny	.rAni -w
runs           .rAnz -w
rush	.rAS -w
rushed	.rASt -w
rushing	.rASIN
russell	.rAsL -w
rustles	.rAstLz -w
rustling	.rAstLIN -w
rutabaga	.rUt6beg6 -w
ryan	.r9~ -w
rye	.r9 -w
s	.Es  
s@l            .Es -w
sad	.s&d -w
sadly	.s&dli -w
safe	.sef -w	
safer	.sefR -w
safest	.sefEst -w
safety	.sefti -w
said           .sEd -w
sailboat	.selbot -w
sailed	.seld -w
sailing	.selIN -w
sailor	.selR -w
sailors 	.selRz -w
saint	.sent -w
sakes	.seks -w
salad          .s&l6d -w
salads       .s&l6dz -w
sale           .sel -w
sally          .s&li -w
salmon	.s&m~ -w	
salsa          .sOls6 -w
salt              .sOlt -w
salvation	.s&lveS~ -w 
